"보고 시작","보고 종료","캠페인 이름","캠페인 게재","기여 설정",결과,"결과 표시 도구",도달,빈도,"결과당 비용","광고 세트 예산","광고 세트 예산 유형","지출 금액 (KRW)",종료,노출,"CPM(1,000회 노출당 비용) (KRW)","링크 클릭",shop_clicks,"CPC(링크 클릭당 비용) (KRW)","CTR(링크 클릭률)",클릭(전체),CTR(전체),"CPC(전체) (KRW)","랜딩 페이지 조회","랜딩 페이지 조회당 비용 (KRW)"
2025-01-07,2026-04-27,대한민국크루즈여행하면서,inactive,"클릭 후 7일 또는 조회 후 1일",11,actions:offsite_conversion.fb_pixel_lead,3328,1.262019,11584.72727273,"광고 세트 예산 사용 중",0,127432,"진행 중",4200,30340.952381,258,,493.922481,6.142857,266,6.333333,479.067669,218,584.550459
2025-01-07,2026-04-27,세부타겟크루즈여행하면서,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",23,actions:offsite_conversion.fb_pixel_lead,3672,1.300926,7209.13043478,"광고 세트 예산 사용 중",0,165810,"진행 중",4777,34710.069081,308,,538.344156,6.447561,314,6.573163,528.057325,245,676.77551
2025-01-07,2026-04-27,대한민국크루즈야영상,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",18,actions:offsite_conversion.fb_pixel_lead,6514,1.204483,9159.22222222,"광고 세트 예산 사용 중",0,164866,"진행 중",7846,21012.745348,358,,460.519553,4.562835,414,5.276574,398.227053,320,515.20625
2025-01-07,2026-04-27,세부타겟크루즈야영상,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",74,actions:offsite_conversion.fb_pixel_lead,11082,1.363021,6283.87837838,"광고 세트 예산 사용 중",0,465007,"진행 중",15105,30784.971864,839,,554.239571,5.554452,927,6.137041,501.625674,772,602.340674
2025-01-07,2026-04-27,경력없이2차직장영상,not_delivering,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",1223,actions:offsite_conversion.fb_pixel_lead,189875,2.35694,7944.73344235,"광고 세트 예산 사용 중",0,9716409,"진행 중",447524,21711.481395,24131,,402.652563,5.392113,26530,5.928174,366.242329,22057,440.513624
2025-01-07,2026-04-27,세부타겟경력없이2차직장,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",278,actions:offsite_conversion.fb_pixel_lead,44351,1.689139,4534.88489209,"광고 세트 예산 사용 중",0,1260698,"진행 중",74915,16828.378829,4353,,289.615897,5.810585,4813,6.424615,261.936007,4133,305.03218
2025-01-07,2026-04-27,대한민국재택가능새로운직업,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,1140,1.094737,16030,"광고 세트 예산 사용 중",0,32060,"진행 중",1248,25689.102564,63,,508.888889,5.048077,64,5.128205,500.9375,45,712.444444
2025-01-07,2026-04-27,세부타겟재택가능크루즈,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,814,1.058968,,"광고 세트 예산 사용 중",0,21555,"진행 중",862,25005.800464,44,,489.886364,5.104408,45,5.220418,479,42,513.214286
2025-01-07,2026-04-27,"노하우무료증정 2025-0705",inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",1,actions:offsite_conversion.fb_pixel_lead,1273,1.073056,29885,"광고 세트 예산 사용 중",0,29885,"진행 중",1366,21877.745242,40,,747.125,2.928258,44,3.221083,679.204545,37,807.702703
2025-01-07,2026-04-27,"경력없이 가능한 프리랜서",inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",1,actions:offsite_conversion.fb_pixel_lead,476,1.044118,11919,"광고 세트 예산 사용 중",0,11919,"진행 중",497,23981.891348,29,,411,5.83501,32,6.438632,372.46875,24,496.625
2025-01-07,2026-04-27,"2차직업 대한민국 20250709",not_delivering,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",175,actions:offsite_conversion.fb_pixel_lead,37718,1.985789,13948.29714286,"광고 세트 예산 사용 중",0,2440952,"진행 중",74900,32589.479306,3050,,800.312131,4.072096,3298,4.403204,740.130988,2392,1020.464883
2025-01-07,2026-04-27,"여행인가 일인가? 둘다다",inactive,"클릭 후 7일 또는 조회 후 1일",,,168,1.011905,,20000,"일일 예산",4000,"진행 중",170,23529.411765,1,,4000,0.588235,3,1.764706,1333.333333,1,4000
2025-01-07,2026-04-27,"물살 경력도 크루즈 여행 일 하는 법",inactive,"클릭 후 7일 또는 조회 후 1일",6,actions:offsite_conversion.fb_pixel_lead,4003,1.152885,16855.66666667,10000,"일일 예산",101134,"진행 중",4615,21914.192849,138,,732.855072,2.990249,160,3.466956,632.0875,124,815.596774
2025-01-07,2026-04-27,"지루한 사무실 이제는 프루즈로",inactive,"클릭 후 7일 또는 조회 후 1일",,,184,1.027174,,20000,"일일 예산",4073,"진행 중",189,21550.26455,1,,4073,0.529101,1,0.529101,4073,1,4073
2025-01-07,2026-04-27,"하라는 대로 했더니",inactive,"클릭 후 7일 또는 조회 후 1일",,,139,1.021583,,20000,"일일 예산",3097,"진행 중",142,21809.859155,1,,3097,0.704225,1,0.704225,3097,1,3097
2025-01-07,2026-04-27,"취업 No 크루즈 여행 하며 프리하게 버는법",inactive,"클릭 후 7일 또는 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,3488,1.100057,41776.5,10000,"일일 예산",83553,"진행 중",3837,21775.605942,104,,803.394231,2.710451,121,3.153505,690.520661,89,938.797753
2025-01-07,2026-04-27,"아무것도 몰라도 크루즈 프리랜서 되는법",inactive,"클릭 후 7일 또는 조회 후 1일",,,144,1.027778,,10000,"일일 예산",3721,"진행 중",148,25141.891892,2,,1860.5,1.351351,3,2.027027,1240.333333,,
2025-01-07,2026-04-27,아무것도크루즈마케터,inactive,"클릭 후 7일 또는 조회 후 1일",,,153,1.019608,,10000,"일일 예산",3810,"진행 중",156,24423.076923,3,,1270,1.923077,3,1.923077,1270,3,1270
2025-01-07,2026-04-27,100%실무만담은현장노하우,inactive,"클릭 후 7일 또는 조회 후 1일",,,240,1.058333,,20000,"일일 예산",6612,"진행 중",254,26031.496063,4,,1653,1.574803,5,1.968504,1322.4,3,2204
2025-01-07,2026-04-27,월매출1억여행사,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,324,1.141975,,10000,"일일 예산",11601,"진행 중",370,31354.054054,14,,828.642857,3.783784,17,4.594595,682.411765,13,892.384615
2025-01-07,2026-04-27,교육아니고실무100%실무만,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,121,1.024793,,10000,"일일 예산",3467,"진행 중",124,27959.677419,1,,3467,0.806452,2,1.612903,1733.5,2,1733.5
2025-01-07,2026-04-27,고객이많아서바쁨,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",1,actions:offsite_conversion.fb_pixel_lead,521,1.090211,17997,20000,"일일 예산",17997,"진행 중",568,31684.859155,19,,947.210526,3.34507,20,3.521127,899.85,12,1499.75
2025-01-07,2026-04-27,수강생들이믿을수밖에,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,91,1.032967,,10000,"일일 예산",3998,"진행 중",94,42531.914894,3,,1332.666667,3.191489,4,4.255319,999.5,3,1332.666667
2025-01-07,2026-04-27,"고객이 많은데에서",inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",1,actions:offsite_conversion.fb_pixel_lead,766,1.06658,20332,20000,"일일 예산",20332,"진행 중",817,24886.168911,28,,726.142857,3.427173,29,3.549572,701.103448,22,924.181818
2025-01-07,2026-04-27,크루즈여행사이정도는해야지,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,357,1.053221,,10000,"일일 예산",8795,"진행 중",376,23390.957447,11,,799.545455,2.925532,12,3.191489,732.916667,8,1099.375
2025-01-07,2026-04-27,"직업 바꾸고 2차 인생 사는 법",inactive,"클릭 후 7일 또는 조회 후 1일",25,actions:offsite_conversion.fb_pixel_lead,8942,1.226124,13879.12,30000,"일일 예산",346978,"진행 중",10964,31647.026633,409,,848.356968,3.73039,498,4.542138,696.742972,343,1011.597668
2025-01-07,2026-04-27,"크루즈 프리랜서 어떻게 해?",inactive,"클릭 후 7일 또는 조회 후 1일",,,864,1.055556,,20000,"일일 예산",33023,"진행 중",912,36209.429825,21,,1572.52381,2.302632,26,2.850877,1270.115385,18,1834.611111
2025-01-07,2026-04-27,크루즈아카데미프리랜서특강,archived,"클릭 후 7일 또는 조회 후 1일",,,112,1.017857,,20000,"일일 예산",4292,2025-07-15,114,37649.122807,1,,4292,0.877193,1,0.877193,4292,1,4292
2025-01-07,2026-04-27,"사본 경력없이2차직장영상",inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,465,1.070968,,"광고 세트 예산 사용 중",0,15825,"진행 중",498,31777.108434,12,,1318.75,2.409639,14,2.811245,1130.357143,10,1582.5
2025-01-07,2026-04-27,기업이좋아하는프리랜서,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,413,1.094431,,10000,"일일 예산",25670,"진행 중",452,56792.035398,10,,2567,2.212389,14,3.097345,1833.571429,,
2025-01-07,2026-04-27,크루즈프리랜서무료강의,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,380,1.092105,,10000,"일일 예산",24700,"진행 중",415,59518.072289,11,,2245.454545,2.650602,13,3.13253,1900,,
2025-01-07,2026-04-27,무경력도일할수있다,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,1560,1.179487,41355.5,30000,"일일 예산",82711,"진행 중",1840,44951.630435,64,,1292.359375,3.478261,74,4.021739,1117.716216,1,82711
2025-01-07,2026-04-27,취업no1인프리랜서크루즈여행사,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,267,1.052434,7444.5,10000,"일일 예산",14889,"진행 중",281,52985.765125,9,,1654.333333,3.202847,9,3.202847,1654.333333,5,2977.8
2025-01-07,2026-04-27,똑똑한사람은이미,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,1803,1.594565,,"광고 세트 예산 사용 중",0,16294,"진행 중",2875,5667.478261,10,,1629.4,0.347826,10,0.347826,1629.4,1,16294
2025-01-07,2026-04-27,블루오션크루즈,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,1286,1.174184,,20000,"일일 예산",60173,"진행 중",1510,39849.668874,45,,1337.177778,2.980132,51,3.377483,1179.862745,,
2025-01-07,2026-04-27,크루즈프리랜서100%실제후기,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,183,1.289617,,20000,"일일 예산",16690,"진행 중",236,70720.338983,11,,1517.272727,4.661017,11,4.661017,1517.272727,5,3338
2025-01-07,2026-04-27,크루즈프리랜서99%실패합니다,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,191,1.136126,,"광고 세트 예산 사용 중",0,18926,"진행 중",217,87216.589862,9,,2102.888889,4.147465,9,4.147465,2102.888889,8,2365.75
2025-01-07,2026-04-27,90분무료특강,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,45,1,,"광고 세트 예산 사용 중",0,4365,"진행 중",45,97000,1,,4365,2.222222,1,2.222222,4365,1,4365
